Year,Segment,Domain,Element,Basis,Mass_g_per_vehicle
2022,AB,Motors,Bi_ppm,scaled,0.0022566566956272933
2022,AB,Motors,C,scaled,3.1749320662450304
2022,AB,Motors,Cd_ppm,scaled,0.0006453445747841661
2022,AB,Motors,Co,scaled,12.739111002952601
2022,AB,Motors,Cu,scaled,1933.2212941478967
2022,AB,Motors,Dy,scaled,11.678900063797514
2022,AB,Motors,Fe,scaled,8738.948905479796
2022,AB,Motors,Fe_ppm,scaled,0.006432687609532517
2022,AB,Motors,Ga,scaled,0.5865268159141477
2022,AB,Motors,Mn,scaled,20.22120206590922
2022,AB,Motors,Mn_ppm,scaled,0.0003223793627476699
2022,AB,Motors,Nb,scaled,2.9317568928400424
2022,AB,Motors,Nd,scaled,357.65033418186937
2022,AB,Motors,Ni_ppm,scaled,0.0064496474824102135
2022,AB,Motors,O_ppm,scaled,0.13361151123384238
2022,AB,Motors,P,scaled,2.2049308167463524
2022,AB,Motors,P_ppm,scaled,0.0019320120904303736
2022,AB,Motors,Pb_ppm,scaled,0.0193042381587678
2022,AB,Motors,Pr,scaled,5.860619041536699
2022,AB,Motors,S,scaled,1.3804549025099941
2022,AB,Motors,S_ppm,scaled,0.009671440115218522
2022,AB,Motors,Sb_ppm,scaled,0.00257656388124953
2022,AB,Motors,Se_ppm,scaled,0.0019308071695873041
2022,AB,Motors,Si,scaled,93.40428086721298
2022,AB,Motors,Sn_ppm,scaled,0.001288520540447744
2022,AB,Motors,Tb,scaled,0.5309817603169004
2022,AB,Motors,Te_ppm,scaled,0.00128940744902794
2022,AB,Motors,TotalMass,scaled,11211.3413128081
2022,AB,Motors,Zn_ppm,scaled,0.0006440099187835869
2022,AB,PCB,Ag,modelled,3.7323855149744154
2022,AB,PCB,Al,modelled,74.53319060556726
2022,AB,PCB,Au,modelled,0.7974002213875149
2022,AB,PCB,Cu,modelled,284.9483844080505
2022,AB,PCB,Fe,modelled,43.31848593525192
2022,AB,PCB,Ni,modelled,11.868708584816066
2022,AB,PCB,Pb,modelled,9.754992818998934
2022,AB,PCB,Pd,modelled,0.4159302622669601
2022,AB,PCB,Sn,modelled,50.24233667322567
2022,AB,PCB,Zn,modelled,3.2534271488116207
2022,AB,Sensors,Ag,static-2025,0.6077818336270258
2022,AB,Sensors,Al,static-2025,10.173703779353087
2022,AB,Sensors,As,static-2025,0.02067735973759192
2022,AB,Sensors,Au,static-2025,0.024082010675859362
2022,AB,Sensors,B,static-2025,0.05084856572201221
2022,AB,Sensors,Ba,static-2025,0.4380401690028811
2022,AB,Sensors,Co,static-2025,0.9715128524708169
2022,AB,Sensors,Cr,static-2025,1.0707382127122949
2022,AB,Sensors,Cu,static-2025,69.394766208022
2022,AB,Sensors,Dy,static-2025,0.026571542728908305
2022,AB,Sensors,Fe,static-2025,91.17709780509851
2022,AB,Sensors,Ga,static-2025,0.020682616109586768
2022,AB,Sensors,Ge,static-2025,0.001501528016123206
2022,AB,Sensors,In,static-2025,0.051132857527050886
2022,AB,Sensors,Li,static-2025,0.0014008442446865545
2022,AB,Sensors,Mn,static-2025,5.275394133407557
2022,AB,Sensors,Nd,static-2025,0.6188924952737236
2022,AB,Sensors,Ni,static-2025,6.4484590776233865
2022,AB,Sensors,Pb,static-2025,1.6969392008835948
2022,AB,Sensors,Pt,static-2025,0.0017482981656576717
2022,AB,Sensors,Si,static-2025,4.699240316672317
2022,AB,Sensors,Sn,static-2025,0.8108822130844012
2022,AB,Sensors,Ta,static-2025,0.04184983640411805
2022,AB,Sensors,Ti,static-2025,0.18020926898566872
2022,AB,Sensors,W,static-2025,0.006421485657835426
2022,AB,Sensors,Zn,static-2025,1.8653604037552363
2022,AB,Sensors,Zr,static-2025,0.25478122802657177
2022,AB,Wiring,Cu,modelled,36338.65861483694
